Date,Amount,Merchant,Category,,,
11/3/2023,11.99,QUICKQUACK* #0701 WAROSEVILLE           CA,Business Services-Other Services,,,
11/2/2023,1.97,AplPay STARBUCKS 196FULLERTON           CA,Other-Education,,,
11/2/2023,12.5,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
10/31/2023,59.78,DEMATTEOS 000000001 RIVERSIDE           CA,Restaurant-Restaurant,,,
10/30/2023,20.09,FRITZI COOP         Los Angeles         CA,Restaurant-Bar & Café,,,
10/29/2023,4.4,COFFEE CORNER       LOS ANGELES         CA,Restaurant-Restaurant,,,
10/28/2023,66,AplPay VENICE SOLEILVENICE              CA,Entertainment-Associations,,,
10/26/2023,8.2,AplPay CSUF TITAN SHFULLERTON           CA,Other-Miscellaneous,,,
10/26/2023,10,AplPay STARBUCKS    800-782-7282        WA,Restaurant-Bar & Café,,,
10/26/2023,9.49,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
10/25/2023,10.99,AplPay CSUF FOOD COUFULLERTON           CA,Other-Education,,,
10/24/2023,13.5,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
10/23/2023,3.35,AplPay CSUF BRIEF STFULLERTON           CA,Other-Miscellaneous,,,
10/23/2023,18.05,IN-N-OUT PLACENTIA  PLACENTIA           CA,Restaurant-Bar & Café,,,
10/23/2023,12,POINT.ME            NEW YORK            NY,Business Services-Professional Services,,,
10/22/2023,17.08,FLAMIN CREATIONS    OCEANSIDE           CA,Other-Miscellaneous,,,
10/21/2023,20,PAYPAL *METAPPGIVE M8882211161          DC,Other-Miscellaneous,,,
10/20/2023,4.12,PELTZER FARMS INC.  TEMECULA            CA,Merchandise & Supplies-Groceries,,,
10/20/2023,5.43,TRADER JOE S #015 00RIVERSIDE           CA,Merchandise & Supplies-Groceries,,,
10/20/2023,81.76,TST* OSCARS BREWING TEMECULA            CA,Other-Miscellaneous,,,
10/19/2023,12.01,AplPay PANDA EXPRESSFULLERTON           CA,Restaurant-Bar & Café,,,
10/18/2023,-808.08,AUTOPAY PAYMENT - THANK YOU,,,,
10/17/2023,10.99,AplPay CSUF FOOD COUFULLERTON           CA,Other-Education,,,
10/17/2023,20,CHATGPT SUBSCRIPTIONSAN FRANCISCO       CA,Merchandise & Supplies-Computer Supplies,,,
10/16/2023,12,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
10/15/2023,-0.5,AMEX Dining Credit,Restaurant-Restaurant,,,
10/15/2023,15.66,BRANDONS DINER JR 06RIVERSIDE           CA,Other-Miscellaneous,,,
10/14/2023,19,AplPay PADDLE.NET* SASTORIA             NY,Merchandise & Supplies-Internet Purchase,,,
10/14/2023,26.94,INTAZZA 000000001   MURRIETA            CA,Restaurant-Bar & Café,,,
10/14/2023,93.74,PBS RANCHO 00H4     RANCHO CUCAMO       CA,Restaurant-Bar & Café,,,
10/13/2023,25.95,DAVES HOT CHICKEN  1ONTARIO             CA,Restaurant-Restaurant,,,
10/12/2023,11.8,AplPay CHIPOTLE ONLINEWPORT BEACH       CA,Restaurant-Bar & Café,,,
10/11/2023,3.29,AplPay CSUF TITAN SHFULLERTON           CA,Other-Miscellaneous,,,
10/11/2023,8.95,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
10/9/2023,50.2,AT&T   *PAYMENT     800-288-2020        FL,Communications-Cable & Internet Comm,,,
10/9/2023,2.39,CSUF BRIEF STOP 0688FULLERTON           CA,Other-Miscellaneous,,,
10/8/2023,-9.5,AMEX Dining Credit,Restaurant-Restaurant,,,
10/8/2023,38.98,KRISPY KREME DOUGHNUONTARIO             CA,Restaurant-Bar & Café,,,
10/7/2023,7.44,CIRCLE K # 06064    CORONA              CA,Transportation-Fuel,,,
10/7/2023,20,Lake Alice Trading CRiverside           CA,Restaurant-Restaurant,,,
10/7/2023,7,UBER EATS           help.uber.com       CA,Restaurant-Restaurant,,,
10/5/2023,3.35,AplPay CSUF TITAN SHFULLERTON           CA,Other-Miscellaneous,,,
10/5/2023,9.5,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
10/4/2023,3.29,AplPay CSUF TITAN SHFULLERTON           CA,Other-Miscellaneous,,,
10/4/2023,5,AplPay REBORN COFFEEAnaheim             CA,Restaurant-Bar & Café,,,
10/3/2023,18.1,AplPay PANDA EXPRESSFULLERTON           CA,Restaurant-Bar & Café,,,
10/3/2023,10,AplPay STARBUCKS    800-782-7282        WA,Restaurant-Bar & Café,,,
10/2/2023,3.29,AplPay CSUF TITAN SHFULLERTON           CA,Other-Miscellaneous,,,
10/1/2023,27.23,AplPay TST* BADLANDSNORCO               CA,Other-Miscellaneous,,,
9/30/2023,16.37,FARMER BOYS - FONTANFONTANA             CA,Restaurant-Bar & Café,,,
9/30/2023,19,PAYPAL *PADDLE.NET  4029357733          GB,Business Services-Internet Services,,,
9/30/2023,3.69,RALPHS              FONTANA             CA,Merchandise & Supplies-Groceries,,,
9/28/2023,11.05,PAYPAL *ZAZZLECOMIN 8009809890          CA,Business Services-Other Services,,,
9/27/2023,21.6,AplPay CSUF TITAN SHFULLERTON           CA,Other-Miscellaneous,,,
9/26/2023,13.16,AplPay CHIPOTLE ONLINEWPORT BEACH       CA,Restaurant-Bar & Café,,,
9/26/2023,3.35,AplPay CSUF TITAN SHFULLERTON           CA,Other-Miscellaneous,,,
9/26/2023,12.5,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
9/25/2023,3.29,AplPay CSUF TITAN SHFULLERTON           CA,Other-Miscellaneous,,,
9/25/2023,7.15,AplPay REBORN COFFEEAnaheim             CA,Restaurant-Bar & Café,,,
9/25/2023,17.8,THE TOLL ROADS OF OC949-727-4800        CA,Other-Government Services,,,
9/24/2023,9.21,AplPay DEL TACO     RIVERSIDE           CA,Restaurant-Bar & Café,,,
9/23/2023,3.86,DEL TACO 1493 000001NEWPORT BEACH       CA,Other-Miscellaneous,,,
9/23/2023,12,POINT.ME            NEW YORK            NY,Business Services-Professional Services,,,
9/23/2023,43.8,THE GRIDDLE CAFE INCLOS ANGELES         CA,Restaurant-Restaurant,,,
9/23/2023,26.55,The Association     Los Angeles         CA,Restaurant-Restaurant,,,
9/23/2023,52.2,The Association     Los Angeles         CA,Restaurant-Restaurant,,,
9/23/2023,22.99,Uber Trip           help.uber.com       CA,Transportation-Taxis & Coach,,,
9/22/2023,53.49,AplPay STORE*FARMHOUSAN FRANCISCO       CA,Restaurant-Restaurant,,,
9/21/2023,9.49,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
9/20/2023,35,AplPay BRANDON      Costa Mesa          CA,Entertainment-Theatrical Events,,,
9/20/2023,6.5,AplPay REBORN COFFEEAnaheim             CA,Restaurant-Bar & Café,,,
9/20/2023,35.94,THE OBSERVATORY MAINSanta Ana           CA,Restaurant-Bar & Café,,,
9/20/2023,7.01,Uber Trip           help.uber.com       CA,Transportation-Taxis & Coach,,,
9/19/2023,13.16,AplPay CHIPOTLE ONLINEWPORT BEACH       CA,Restaurant-Bar & Café,,,
9/19/2023,13.5,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
9/18/2023,-984.3,AUTOPAY PAYMENT - THANK YOU,,,,
9/18/2023,3.29,AplPay CSUF TITAN SHFULLERTON           CA,Other-Miscellaneous,,,
9/18/2023,10,AplPay STARBUCKS    800-782-7282        WA,Restaurant-Bar & Café,,,
9/17/2023,20,CHATGPT SUBSCRIPTIONSAN FRANCISCO       CA,Merchandise & Supplies-Computer Supplies,,,
9/17/2023,58.71,ELLIOTTS FOR PETS 00RIVERSIDE           CA,Merchandise & Supplies-General Retail,,,
9/17/2023,7.12,IN N OUT BURGER 175 CORONA              CA,Restaurant-Bar & Café,,,
9/17/2023,15.3,RUBIO'S #189        CORONA              CA,Restaurant-Bar & Café,,,
9/15/2023,7,ADAMS SERVICE CENTERRIVERSIDE           CA,Business Services-Other Services,,,
9/15/2023,6,AplPay CIRCLE K 0192CORONA              CA,Transportation-Fuel,,,
9/14/2023,10.99,AplPay CSUF FOOD COUFULLERTON           CA,Other-Education,,,
9/12/2023,12,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
9/11/2023,6.64,AplPay CSUF TITAN SHFULLERTON           CA,Other-Miscellaneous,,,
9/9/2023,45.2,AT&T   *PAYMENT     800-288-2020        FL,Communications-Cable & Internet Comm,,,
9/9/2023,12.74,AplPay RAISING CANESHUNTINGTON BE       CA,Restaurant-Bar & Café,,,
9/9/2023,3.37,UBER EATS           help.uber.com       CA,Restaurant-Restaurant,,,
9/8/2023,-10,AMEX Dining Credit,Restaurant-Restaurant,,,
9/8/2023,10,AplPay STARBUCKS    800-782-7282        WA,Restaurant-Bar & Café,,,
9/7/2023,13.5,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
9/6/2023,1,AplPay ASSOCIATED STFULLERTON           CA,Other-Education,,,
9/5/2023,10.86,AplPay ADORAMA.COM  800-223-2500        NY,Merchandise & Supplies-Internet Purchase,,,
9/5/2023,11,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
9/3/2023,8,BARRETT'S LEMONADE  HUNTINGTON BEACH    CA,Restaurant-Bar & Café,,,
9/3/2023,49.18,TST* HOME STATE HIGHLOS ANGELES         CA,Restaurant-Restaurant,,,
9/2/2023,13.56,TST* JAXONS CHIX TENORANGE              CA,Restaurant-Restaurant,,,
8/31/2023,11.8,AplPay CHIPOTLE ONLINEWPORT BEACH       CA,Restaurant-Bar & Café,,,
8/31/2023,12,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
8/31/2023,7.5,METROLINK 000009222 LOS ANGELES         CA,Other-Government Services,,,
8/30/2023,10,METROLINK 000009222 LOS ANGELES         CA,Other-Government Services,,,
8/29/2023,11.8,AplPay CHIPOTLE ONLINEWPORT BEACH       CA,Restaurant-Bar & Café,,,
8/29/2023,10.75,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
8/29/2023,10,METROLINK 000009222 LOS ANGELES         CA,Other-Government Services,,,
8/28/2023,12,AplPay CARDPOINTERS.MIAMI               FL,Merchandise & Supplies-Computer Supplies,,,
8/28/2023,39.95,PAYPAL *LYRYXLEARNI 6472193027          CA,Business Services-Internet Services,,,
8/27/2023,7.14,CKE*MOONRIDGE COFFEEBIG BEAR LAKE       CA,Restaurant-Restaurant,,,
8/25/2023,84,PAYPAL *XCODECLBDEB 4029357733          CA,Business Services-Internet Services,,,
8/25/2023,14.05,TACO BELL #035612 03BIG BEAR LAKE       CA,Restaurant-Bar & Café,,,
8/24/2023,11.8,AplPay CHIPOTLE ONLINEWPORT BEACH       CA,Restaurant-Bar & Café,,,
8/24/2023,3.29,AplPay CSUF TITAN SHFULLERTON           CA,Other-Miscellaneous,,,
8/24/2023,9.49,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
8/23/2023,8,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
8/23/2023,10,METROLINK 000009222 LOS ANGELES         CA,Other-Government Services,,,
8/23/2023,12,POINT.ME            NEW YORK            NY,Business Services-Professional Services,,,
8/22/2023,11.8,AplPay CHIPOTLE ONLINEWPORT BEACH       CA,Restaurant-Bar & Café,,,
8/22/2023,10,AplPay STARBUCKS    800-782-7282        WA,Restaurant-Bar & Café,,,
8/22/2023,10.75,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
8/22/2023,10,METROLINK 000009222 LOS ANGELES         CA,Other-Government Services,,,
8/21/2023,6.52,CKE*MOONRIDGE COFFEEBIG BEAR LAKE       CA,Restaurant-Restaurant,,,
8/20/2023,19,AplPay PADDLE.NET* SASTORIA             NY,Merchandise & Supplies-Internet Purchase,,,
8/19/2023,-97.65,AplPay PTI* BIG BEARMIDVALE             UT,Entertainment-General Attractions,,,
8/19/2023,42.79,STATER BROS MARKETS BIG BEAR LAKE       CA,Merchandise & Supplies-Groceries,,,
8/19/2023,286.61,TST* HIMALAYAN RESTABIG BEAR LAKE       CA,Restaurant-Restaurant,,,
8/18/2023,-1797.49,AUTOPAY PAYMENT - THANK YOU,,,,
8/18/2023,5.2,CIRCLE K 01922/CIRCLCORONA              CA,Transportation-Fuel,,,
8/18/2023,8.06,THE TOLL ROADS OF OC949-727-4800        CA,Other-Government Services,,,
8/17/2023,20,CHATGPT SUBSCRIPTIONSAN FRANCISCO       CA,Merchandise & Supplies-Computer Supplies,,,
8/17/2023,12.93,CHICK-FIL-A #03791 0RIVERSIDE           CA,Restaurant-Bar & Café,,,
8/15/2023,7.12,AplPay IN N OUT BURGCORONA              CA,Restaurant-Bar & Café,,,
8/15/2023,11.8,CHIPOTLE ONLINE     NEWPORT BEACH       CA,Restaurant-Bar & Café,,,
8/15/2023,21.09,VONS #2381 2381     CORONA              CA,Merchandise & Supplies-Groceries,,,
8/12/2023,-10,AMEX Dining Credit,Restaurant-Restaurant,,,
8/12/2023,19,PAYPAL *PADDLE.NET  4029357733          GB,Business Services-Internet Services,,,
8/12/2023,14.14,THE TOLL ROADS OF OC949-727-4800        CA,Other-Government Services,,,
8/11/2023,13.04,AplPay CHICK-FIL-A #RIVERSIDE           CA,Restaurant-Bar & Café,,,
8/10/2023,4.34,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,Merchandise & Supplies-Internet Purchase,,,
8/8/2023,93.47,ANGEL THAI CUISINE  RIVERSIDE           CA,Restaurant-Restaurant,,,
8/8/2023,10,AplPay STARBUCKS    800-782-7282        WA,Restaurant-Bar & Café,,,
8/8/2023,18.54,GRUBHUB* DELIASGRINDCHICAGO             IL,Restaurant-Restaurant,,,
8/5/2023,59.37,BEVERAGES & MORE #78MIRA LOMA           CA,Merchandise & Supplies-Groceries,,,
8/5/2023,13.99,CVS/PHARMACY        RIVERSIDE           CA,Merchandise & Supplies-Pharmacies,,,
8/5/2023,16.32,TST* MR TACO FRESH MRIVERSIDE           CA,Other-Miscellaneous,,,
8/4/2023,35.57,CARLOS LIQUOR 0100  RIVERSIDE           CA,Merchandise & Supplies-Groceries,,,
8/4/2023,3.37,UBER EATS           help.uber.com       CA,Restaurant-Restaurant,,,
8/2/2023,10,AplPay STARBUCKS    800-782-7282        WA,Restaurant-Bar & Café,,,
8/2/2023,10.5,AplPay TIM BOBA     RIVERSIDE           CA,Restaurant-Restaurant,,,
8/2/2023,11.8,CHIPOTLE 0333 0000  RIVERSIDE           CA,Restaurant-Bar & Café,,,
7/31/2023,163.13,AplPay NIKE.COM AP 2BEAVERTON           OR,Merchandise & Supplies-Internet Purchase,,,
7/30/2023,-771.52,AplPay AIRBNB * HMNCSAN FRANCISCO       CA,Travel-Travel Agencies,,,
7/30/2023,-192.58,AplPay AIRBNB * HMNCSAN FRANCISCO       CA,Travel-Travel Agencies,,,
7/30/2023,390.89,AplPay PTI* BIG BEARMIDVALE             UT,Entertainment-General Attractions,,,
7/30/2023,12.01,PANDA EXPRESS       COSTA MESA          CA,Restaurant-Bar & Café,,,
7/30/2023,9.7,TACO BELL 040763 040NEWPORT BEACH       CA,Restaurant-Bar & Café,,,
7/30/2023,13.46,TACO BELL 040763 040NEWPORT BEACH       CA,Restaurant-Bar & Café,,,
7/29/2023,100,CLICK-DISSOLVE      KATY                TX,Business Services-Contracting Services,,,
7/29/2023,19,PAYPAL *PADDLE.NET  4029357733          GB,Business Services-Internet Services,,,
7/29/2023,16,WILSON'S BBQ RIB SHARialto              CA,Restaurant-Restaurant,,,
7/28/2023,7.51,ALL POINTS BREWING CRIVERSIDE           CA,Other-Miscellaneous,,,
7/28/2023,8.21,AplPay BAKERS - 148 RIVERSIDE           CA,Restaurant-Bar & Café,,,
7/27/2023,8.32,IN N OUT BURGER 046 RIVERSIDE           CA,Restaurant-Bar & Café,,,
7/26/2023,23.75,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,Merchandise & Supplies-Internet Purchase,,,
7/26/2023,32,AplPay GLO MINI GOLFRiverside           CA,Entertainment-General Attractions,,,
7/26/2023,0.95,SPK*SPOKEO SEARCH   800-699-4264        CA,Merchandise & Supplies-Internet Purchase,,,
7/26/2023,13.54,TACO BELL 039848 039CORONA              CA,Restaurant-Bar & Café,,,
7/25/2023,128.24,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,Merchandise & Supplies-Internet Purchase,,,
7/25/2023,43.43,ANCHOS SOUTHWEST GRIRIVERSIDE           CA,Restaurant-Restaurant,,,
7/25/2023,192.58,AplPay AIRBNB * HMNCSAN FRANCISCO       CA,Travel-Travel Agencies,,,
7/25/2023,6.5,MCDONALD'S F855 0000RIVERSIDE           CA,Restaurant-Bar & Café,,,
7/25/2023,9.87,SPEEDWAY            1-800-643-1948      OH,Transportation-Fuel,,,
7/25/2023,5.01,USPS PO 0565530501 0RIVERSIDE           CA,Business Services-Mailing & Shipping,,,
7/23/2023,19,PAYPAL *PADDLE.NET  4029357733          GB,Business Services-Internet Services,,,
7/23/2023,12,POINT.ME            NEW YORK            NY,Travel-Lodging,,,
7/23/2023,21.74,TST* MR TACO FRESH MRIVERSIDE           CA,Other-Miscellaneous,,,
7/23/2023,17.85,The Association     Los Angeles         CA,Restaurant-Restaurant,,,
7/23/2023,28.05,The Association     Los Angeles         CA,Restaurant-Restaurant,,,
7/20/2023,20.28,FRANCE HOUSE OF CREPMORENO VALLEY       CA,Restaurant-Restaurant,,,
7/20/2023,23.37,TRADER JOE S #015 00RIVERSIDE           CA,Merchandise & Supplies-Groceries,,,
7/19/2023,11,A & A HOLDINGS      SAN BERNARDIN       CA,Business Services-Other Services,,,
7/19/2023,37.41,FUFUS GRILL 0000    RIVERSIDE           CA,Restaurant-Restaurant,,,
7/18/2023,-10,AMEX Dining Credit,Restaurant-Restaurant,,,
7/18/2023,-1787.13,AUTOPAY PAYMENT - THANK YOU,,,,
7/18/2023,771.52,AplPay AIRBNB * HMNCSAN FRANCISCO       CA,Travel-Travel Agencies,,,
7/18/2023,22.6,AplPay REGAL CINEMASKNOXVILLE           TN,Entertainment-Theatrical Events,,,
7/18/2023,10.44,MAXI FOODS UNIVERSITRIVERSIDE           CA,Other-Miscellaneous,,,
7/17/2023,59.85,ANGEL THAI CUISINE  RIVERSIDE           CA,Restaurant-Restaurant,,,
7/17/2023,20,CHATGPT SUBSCRIPTIONSAN FRANCISCO       CA,Merchandise & Supplies-Computer Supplies,,,
7/15/2023,10.02,DAIRY QUEEN #42629 0MONTCLAIR           CA,Restaurant-Bar & Café,,,
7/15/2023,5.86,PAYPAL *ETSY INC    8446593879          NY,Merchandise & Supplies-Clothing Stores,,,
7/15/2023,19,PAYPAL *PADDLE.NET  4029357733          GB,Business Services-Internet Services,,,
7/14/2023,76.8,AplPay REGAL CINEMASKNOXVILLE           TN,Entertainment-Theatrical Events,,,
7/14/2023,15.71,GRUBHUB*THEFLAMEBROINEW YORK            NY,Restaurant-Restaurant,,,
7/14/2023,13.99,TST* SHOOTZ - ONTARIONTARIO             CA,Other-Miscellaneous,,,
7/13/2023,31.07,Uber Trip           help.uber.com       CA,Transportation-Taxis & Coach,,,
7/12/2023,11.06,CHIPOTLE ONLINE     NEWPORT BEACH       CA,Restaurant-Bar & Café,,,
7/12/2023,7.61,CITY MARKET ROASTERSKANSAS CITY         MO,Restaurant-Restaurant,,,
7/10/2023,21.36,CENTERFIRE SHOOTING OLATHE              KS,Merchandise & Supplies-Sporting Goods Stores,,,
7/10/2023,30.48,TST* BOULEVARD BREWIKANSAS CITY         MO,Restaurant-Bar & Café,,,
7/9/2023,19.43,KING'S LIQUOR 0000  OLATHE              KS,Merchandise & Supplies-Groceries,,,
7/9/2023,4.27,QT                  OLATHE              KS,Merchandise & Supplies-Groceries,,,
7/9/2023,5.76,WAL-MART NEIGHBORHOOOLATHE              KS,Merchandise & Supplies-Groceries,,,
7/8/2023,9.62,JIMMY JOHNS         OLATHE              KS,Restaurant-Bar & Café,,,
7/7/2023,6.92,DEL TACO            TORRANCE            CA,Restaurant-Bar & Café,,,
7/7/2023,23.47,JOES KANSAS CITY BAROLATHE              KS,Restaurant-Restaurant,,,
7/7/2023,24.46,Uber Trip           help.uber.com       CA,Transportation-Taxis & Coach,,,
7/6/2023,18.74,LITTLE CAESARS PIZZARIVERSIDE           CA,Restaurant-Bar & Café,,,
7/5/2023,16.31,SNACK* MOGE TEE SAN SAN FRANCISCO       CA,Restaurant-Restaurant,,,
7/5/2023,36.74,THE POKE CO 0000    SAN DIEGO           CA,Restaurant-Bar & Café,,,
7/4/2023,7.73,PARADISE LIQUOR 0226SAN DIEGO           CA,Merchandise & Supplies-Groceries,,,
7/3/2023,1.25,CITYSD PARKING 28881SAN DIEGO           CA,Transportation-Parking Charges,,,
7/3/2023,11.28,TST* BETTER BUZZ - HSAN DIEGO           CA,Restaurant-Bar & Café,,,
7/3/2023,31.14,VONS #2355 2355     SAN DIEGO           CA,Merchandise & Supplies-Groceries,,,
7/2/2023,9.19,RALPH'S GROCERY     SAN DIEGO           CA,Merchandise & Supplies-Groceries,,,
7/2/2023,10.4,SEASIDE DONUTS BAKERNEWPORT BEACH       CA,Other-Miscellaneous,,,
7/1/2023,11,AplPay LAVENTINAS BINEWPORT BEACH       CA,Restaurant-Restaurant,,,
7/1/2023,365.89,SPIRIT AIRLINES     SOUTH FLORIDA       FL,Travel-Airline,,,
6/30/2023,4.95,DAIRY QUEEN #40532 0RANCHO CUCAMO       CA,Restaurant-Bar & Café,,,
6/30/2023,14,JETBLUE GATE RETAIL RESTON              VA,Merchandise & Supplies-Groceries,,,
6/29/2023,28.6,AplPay BT*FOOD AT* BKANSAS CITY         KS,Restaurant-Restaurant,,,
6/29/2023,10,AplPay STARBUCKS    800-782-7282        WA,Restaurant-Bar & Café,,,
6/28/2023,9.04,AV CC JAMBA JUICE   JAMAICA             NY,Restaurant-Bar & Café,,,
6/28/2023,2.75,AplPay NYCT PAYGO   NEW YORK            NY,Transportation-Rail Services,,,
6/28/2023,10.8,HUNGRY GHOST COFFEE Brooklyn            NY,Restaurant-Restaurant,,,
6/28/2023,23.9,TST* GRASS ROOTS JUIBROOKLYN            NY,Merchandise & Supplies-Groceries,,,
6/27/2023,2.75,AplPay NYCT PAYGO   NEW YORK            NY,Transportation-Rail Services,,,
